reponse,label
sortir ami former équipe équilibré équipe conduire cuisine organiser empathique pouvoir agir cas dispute planifier activité principal jour flexible détail rester fatiguer faire ami essayer chose voyager endroit découvrir monde vouloir briser stéréotype vouloir faire heure supplémentaire travail contraire moyen créer entreprise société idéalement objectif atteindre sentir valoriser recharger pouvoir vivre mieux travail,1
aimer trouver lieu populaire alimentaire local aimer voir local habitude vacance étranger lieu connaître période boulot client,1
paysage plage visite culturel musée cuisine local art pratique visite exposition,1
randonnée bivouac permettre défouler confronter rencontrer sympa faire super histoire raconter lecture philosophique roman aventure aimer apprendre expérience humain chant aimer utiliser corps instrument pouvoir produire joie beauté création artistique sou forme stimulation plaisir explorer partage expérience sens prise public collecter impression flotter air partager public,1
aller pays grand histoire visiter ruine monument découvrir culture profiter soleil plage sûr aide déconnecter quotidien vraiment relaxer passe temps aimer lire écrire jouer jeu vidéo faire shopping cuisiner liste long intéresser trouver dommage cantonner domaine curieux nature aimer découvrir chose pouvoir servir quotidien meilleur,1
aimer vacance bord mer pays méditerranéen vacance goal journée plage sortie culturel genre visiter pays monument soirée chill lire regarder série film faire friperie sortir amie écouter musique,1
préférer possibilité passer temps famille ami jouer jeu société discuter faire barbecue vouloir voyager bord mer accumuler solei passer temps hotel fênetre panaromique donner sapin enneigé préférer activité calme chaleureux lecture thé café côté visité musée théâtre actif énergivore jogging badminton voleyball jeu petit soeur petit neveu faire sport jogging jouer volleyball badminton apprendre langue étranger grand fan celer lire livre regarder film visiter musée théâtre regarder vidéo humoristique faire blague écouter musique ami famille coudre vêtement ensiegner français,1
aimer liste varier activité endroit visiter vouloir pouvoir découvrir ville pays visiter sou angle préférence préférer lieu culturel musée exemple paysage voir prendre photo restaurant servir nourriture local idéal parc attraction préférer voyager ami voyage penser amuser accompagner finir vraiment préférence type endroit aimer visiter pouvoir amuser ville mer 1 agrandir culture cinématographique passionner cinéma étudier master milieu 2 astronomie adorer lier espace jour passer consommer contenu lier astronomie documentaire tweet post instagram feuilleter manuel 3 sortir ami remonter moral niveau énergie voir ami vrai source sérotonine,1
préférer voyage vacance planifier préférer installer bord plage paresser pouvoir manger nourriture flâner musée art temps simplement partir planifier activité préférer danse visionnage documentaire danse donne sentiment libération confiant visionnage documentaire permettre mieux comprendre société prêter attention chose entourer explorer domaine aventure normalement,1
concerner vacance idéal voyager goal sortir découvrir vraiment envie chill aimer randonnée aimer confort vraiment envie entourer rentrer chose aimer flemm voir ami devenir aigri saouler bout semaine maximum bouger aller obligatoire échec jeu stratégie social survivor the genius big brother internet aspect stratégique créer alliance adapter meilleur jeu aller loin vraiment passion moment vraiment prendre mentalement jouer 2 3 4 mois saison chose faire régulièrement essayer lire émotion intention super intéressant joue piano apprendre crochet côté celer aimer jeu vidéo visual novel maquillage permettre améliorer créativité adorer,1
